cpr_threshold,exit_strategy,total_trades,winners,losers,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_dd,final_capital
0.3,EOD_ONLY,1845,789,1056,42.76422764227642,-1180551.0368748717,-118.05510368748715,0.7453529906617117,4379.567074619841,-4390.179411695006,122.89372040596425,-180551.0368748715
0.3,SL_0.5,2629,888,1741,33.77710155952834,-1504294.812320064,-150.42948123200645,0.7160320599591071,4271.526933417863,-3042.740223546885,151.47609317353138,-504294.8123200645
0.3,SL_0.75,2239,873,1366,38.990620812862886,-1412047.7518252404,-141.204775182524,0.7245717744486361,4255.083706328821,-3753.1008985726944,145.0438403638586,-412047.75182524027
0.3,SL_1.0,2086,859,1227,41.17929050814957,-1405342.1415645184,-140.53421415645172,0.7226447915174531,4262.62822759029,-4129.535280411229,144.39881357446734,-405342.1415645172
0.3,SL_1.5,1959,826,1133,42.16436957631445,-1375507.6935765552,-137.55076935765544,0.7218086815829097,4320.773543432273,-4364.048226347408,142.96322714589917,-375507.6935765546
0.3,SL0.5_TP1.0,3496,1252,2244,35.81235697940504,-2049264.638555977,-204.9264638555976,0.7007926278022407,3833.6366804597005,-3052.129127670019,203.20127457892855,-1049264.638555976
0.3,SL0.5_TP1.5,2992,1026,1966,34.29144385026738,-1690701.9608065563,-169.07019608065573,0.7188945813023601,4214.205294133795,-3059.2454692715314,167.81822083506384,-690701.9608065573
0.3,SL0.5_TP2.0,2799,946,1853,33.79778492318685,-1601014.4118278555,-160.10144118278552,0.7173701306816763,4295.654434333906,-3057.0445260160445,160.53401617425084,-601014.4118278553
0.3,SL0.75_TP1.0,2911,1192,1719,40.94812779113707,-1827145.8839700439,-182.71458839700443,0.7161286359738718,3866.9310128714033,-3744.3441834280143,183.24522102548656,-827145.8839700443
0.3,SL0.75_TP1.5,2518,1002,1516,39.793486894360605,-1529139.6271486033,-152.91396271486028,0.7335260108621791,4200.878459820267,-3785.2373640425535,154.5845782859955,-529139.6271486029
0.3,SL0.75_TP2.0,2365,926,1439,39.15433403805497,-1489049.1678946186,-148.9049167894618,0.7259989977891786,4260.709469386905,-3776.557426370321,151.42255403316557,-489049.1678946179
0.3,SL1.0_TP1.5,2332,977,1355,41.895368782161235,-1541805.621564994,-154.18056215649955,0.7272507803659637,4207.8063079091635,-4171.832018001658,155.91989384583198,-541805.6215649954
0.3,SL1.0_TP2.0,2196,909,1287,41.39344262295082,-1479487.0420328646,-147.94870420328635,0.723902812073482,4267.421715995102,-4163.615681330546,151.23979920716044,-479487.0420328637
0.3,SL1.0_TP3.0,2126,876,1250,41.20413922859831,-1425111.068077758,-142.5111068077757,0.7249722060680911,4288.341654566436,-4145.3586859823645,146.26736186180392,-425111.06807775697
0.3,TRAIL_0.3,12702,2490,10212,19.603212092583846,-12272817.82397662,-1227.2817823976566,0.20218511703201508,1249.0849931308715,-1506.3689244881011,1227.3452775226565,-11272817.823976565
0.3,TRAIL_0.5,5304,1556,3748,29.33634992458522,-4706209.879206081,-470.6209879206079,0.44503700825694414,2425.4582488191763,-2262.5994968966697,466.8250801126118,-3706209.879206079
0.3,TRAIL_0.75,3160,1110,2050,35.12658227848101,-2476232.1008075792,-247.62321008075787,0.6044587825169374,3409.128070250634,-3053.836223797943,245.0291166748102,-1476232.1008075788
0.3,TRAIL_1.0,2474,950,1524,38.39935327405012,-1796603.1204963957,-179.66031204963934,0.6747988577523966,3924.197175052701,-3625.0593417299615,181.17891041127413,-796603.1204963934
0.3,CPR_PIVOT,2143,860,1283,40.130657956136254,-1343353.1151059268,-134.3353115105927,0.7316095521884882,4257.984220930301,-3901.1843687497935,138.15919650198146,-343353.11510592693
0.3,CPR_TC_BC,2151,858,1293,39.8884239888424,-1394157.734460594,-139.41577344605938,0.7242188327178886,4267.070646853216,-3909.74814343438,142.3561968441041,-394157.7344605938
0.3,TRAIL0.5_TP1.5,5371,1578,3793,29.38000372370136,-4720934.571850186,-472.0934571850187,0.44842916295685936,2432.2798131079517,-2256.544191124317,468.3387240161717,-3720934.5718501857
0.3,TRAIL0.5_TP2.0,5324,1561,3763,29.32006010518407,-4717681.765668356,-471.7681765668355,0.44677165697992594,2440.6580181443423,-2266.157037467891,467.85105979437003,-3717681.765668355
0.3,TRAIL0.75_TP2.0,3213,1127,2086,35.07625272331155,-2498956.4069995903,-249.89564069995902,0.6081302994809952,3441.040002245982,-3057.051049631262,247.13894234408636,-1498956.4069995903
0.5,EOD_ONLY,2514,1082,1432,43.03898170246619,-1589831.0631248269,-158.9831063124826,0.7507551517775295,4425.841412315225,-4454.323653107472,166.57627610286713,-589831.0631248258
0.5,SL_0.5,3598,1201,2397,33.37965536409116,-2105873.1712331763,-210.58731712331763,0.7130974595361206,4358.165312239869,-3062.1734298011097,214.2279331859013,-1105873.1712331765
0.5,SL_0.75,3049,1183,1866,38.79960642833716,-1942478.4361280263,-194.2478436128025,0.7251883060951494,4332.983596787896,-3787.9946576249235,200.81250330396952,-942478.4361280252
0.5,SL_1.0,2824,1167,1657,41.3243626062323,-1863975.9075522006,-186.3975907552199,0.7299985341321106,4318.424236825261,-4166.3107977835125,192.15679842619582,-863975.9075521992
0.5,SL_1.5,2656,1129,1527,42.50753012048193,-1848248.0884459475,-184.82480884459457,0.7271487880882579,4362.784095992097,-4436.038855809446,193.79678434257895,-848248.0884459459
0.5,SL0.5_TP1.0,4838,1722,3116,35.59322033898305,-2861794.5505285226,-286.1794550528521,0.700565100080645,3888.2249835982466,-3067.1752157524725,286.0119061902262,-1861794.5505285212
0.5,SL0.5_TP1.5,4125,1395,2730,33.81818181818182,-2423152.034672619,-242.3152034672618,0.7120974679888,4296.357514217833,-3082.9929549474346,243.96416297741962,-1423152.034672618
0.5,SL0.5_TP2.0,3839,1286,2553,33.49830685074238,-2215844.522685281,-221.5844522685279,0.7184103983043172,4395.965870273214,-3082.2783516868917,224.4845675498825,-1215844.5226852794
