label,st_period,st_mult,narrow_cpr_pct,proximity_pct,max_wick_pct,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
ST5_M1.5,5,1.5,3.0,3.0,30.0,308,31.49,-219504.07,-21.95,0.5693,22.73,-2.6591,0.7719,"{""SUPERTREND_FLIP"": 145, ""EOD"": 158, ""TARGET"": 1, ""SL"": 3, ""CPR_BREACH"": 1}"
ST5_M2.0,5,2.0,3.0,3.0,30.0,122,38.52,-39346.47,-3.93,0.8105,6.61,-0.634,0.3058,"{""EOD"": 94, ""SUPERTREND_FLIP"": 23, ""SL"": 4, ""TARGET"": 1}"
ST5_M2.5,5,2.5,3.0,3.0,30.0,59,25.42,-99456.63,-9.95,0.3659,10.25,-2.4092,0.1479,"{""EOD"": 46, ""SL"": 5, ""SUPERTREND_FLIP"": 8}"
ST5_M3.0,5,3.0,3.0,3.0,30.0,38,44.74,-16978.15,-1.7,0.8022,4.62,-0.434,0.0952,"{""EOD"": 32, ""SL"": 4, ""SUPERTREND_FLIP"": 2}"
ST5_M3.5,5,3.5,3.0,3.0,30.0,20,55.0,12474.71,1.25,1.3958,1.63,0.4414,0.0501,"{""EOD"": 19, ""SL"": 1}"
ST5_M4.0,5,4.0,3.0,3.0,30.0,12,58.33,19473.04,1.95,3.2375,0.48,1.0493,0.0301,"{""EOD"": 12}"
ST7_M1.5,7,1.5,3.0,3.0,30.0,287,30.66,-200478.99,-20.05,0.5785,21.95,-2.3281,0.7193,"{""SUPERTREND_FLIP"": 138, ""EOD"": 147, ""TARGET"": 1, ""SL"": 1}"
ST7_M2.0,7,2.0,3.0,3.0,30.0,111,37.84,-46400.76,-4.64,0.7688,6.56,-0.803,0.2782,"{""EOD"": 87, ""SUPERTREND_FLIP"": 19, ""SL"": 4, ""TARGET"": 1}"
ST7_M2.5,7,2.5,3.0,3.0,30.0,57,26.32,-92901.81,-9.29,0.3568,10.17,-2.4944,0.1429,"{""EOD"": 44, ""SL"": 4, ""SUPERTREND_FLIP"": 9}"
ST7_M3.0,7,3.0,3.0,3.0,30.0,37,48.65,-2492.84,-0.25,0.9667,3.7,-0.0712,0.0927,"{""EOD"": 32, ""SUPERTREND_FLIP"": 2, ""SL"": 3}"
ST7_M3.5,7,3.5,3.0,3.0,30.0,22,40.91,13592.81,1.36,1.3561,1.27,0.4355,0.0551,"{""EOD"": 20, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST7_M4.0,7,4.0,3.0,3.0,30.0,12,66.67,23004.78,2.3,4.7694,0.3,1.258,0.0301,"{""EOD"": 12}"
ST10_M1.5,10,1.5,3.0,3.0,30.0,274,31.75,-196228.36,-19.62,0.5803,21.74,-2.2653,0.6867,"{""SUPERTREND_FLIP"": 124, ""EOD"": 146, ""SL"": 2, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST10_M2.0,10,2.0,3.0,3.0,30.0,102,35.29,-73619.16,-7.36,0.6389,8.34,-1.4199,0.2556,"{""EOD"": 81, ""SUPERTREND_FLIP"": 17, ""SL"": 4}"
ST10_M2.5,10,2.5,3.0,3.0,30.0,57,28.07,-82967.95,-8.3,0.4535,10.37,-1.8774,0.1429,"{""EOD"": 46, ""SL"": 4, ""SUPERTREND_FLIP"": 7}"
ST10_M3.0,10,3.0,3.0,3.0,30.0,33,45.45,-17872.98,-1.79,0.7615,3.8,-0.512,0.0827,"{""EOD"": 27, ""SUPERTREND_FLIP"": 3, ""SL"": 3}"
ST10_M3.5,10,3.5,3.0,3.0,30.0,21,47.62,18786.93,1.88,1.5563,0.98,0.6067,0.0526,"{""EOD"": 19, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST10_M4.0,10,4.0,3.0,3.0,30.0,12,66.67,27034.11,2.7,5.4297,0.3,1.4029,0.0301,"{""EOD"": 12}"
ST14_M1.5,14,1.5,3.0,3.0,30.0,267,32.58,-226593.97,-22.66,0.5139,24.99,-2.6977,0.6692,"{""SUPERTREND_FLIP"": 125, ""EOD"": 138, ""SL"": 2, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST14_M2.0,14,2.0,3.0,3.0,30.0,106,35.85,-99744.38,-9.97,0.5573,10.7,-1.8487,0.2657,"{""EOD"": 83, ""SUPERTREND_FLIP"": 19, ""SL"": 4}"
ST14_M2.5,14,2.5,3.0,3.0,30.0,51,33.33,-56217.93,-5.62,0.5546,7.87,-1.3274,0.1278,"{""EOD"": 42, ""SL"": 4, ""SUPERTREND_FLIP"": 5}"
ST14_M3.0,14,3.0,3.0,3.0,30.0,29,41.38,-9593.54,-0.96,0.8417,3.45,-0.2873,0.0727,"{""EOD"": 24, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST14_M3.5,14,3.5,3.0,3.0,30.0,24,45.83,13607.72,1.36,1.3376,1.48,0.4288,0.0602,"{""EOD"": 22, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST14_M4.0,14,4.0,3.0,3.0,30.0,12,66.67,24450.07,2.45,2.8868,0.72,1.0433,0.0301,"{""EOD"": 11, ""SL"": 1}"
ST20_M1.5,20,1.5,3.0,3.0,30.0,260,36.54,-145551.92,-14.56,0.6639,18.59,-1.7167,0.6516,"{""SUPERTREND_FLIP"": 126, ""EOD"": 131, ""SL"": 1, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST20_M1.5,20,1.5,3.0,3.0,30.0,260,36.54,-145551.92,-14.56,0.6639,18.59,-1.7167,0.6516,"{""SUPERTREND_FLIP"": 126, ""EOD"": 131, ""SL"": 1, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST20_M2.0,20,2.0,3.0,3.0,30.0,109,33.94,-116171.43,-11.62,0.5349,12.44,-1.932,0.2732,"{""EOD"": 80, ""SUPERTREND_FLIP"": 25, ""SL"": 4}"
ST20_M2.0,20,2.0,3.0,3.0,30.0,109,33.94,-116171.43,-11.62,0.5349,12.44,-1.932,0.2732,"{""EOD"": 80, ""SUPERTREND_FLIP"": 25, ""SL"": 4}"
ST20_M2.5,20,2.5,3.0,3.0,30.0,46,39.13,-49740.45,-4.97,0.5855,6.59,-1.1436,0.1153,"{""EOD"": 37, ""SL"": 5, ""SUPERTREND_FLIP"": 4}"
ST20_M2.5,20,2.5,3.0,3.0,30.0,46,39.13,-49740.45,-4.97,0.5855,6.59,-1.1436,0.1153,"{""EOD"": 37, ""SL"": 5, ""SUPERTREND_FLIP"": 4}"
ST20_M3.0,20,3.0,3.0,3.0,30.0,31,41.94,-19030.71,-1.9,0.7334,3.91,-0.5363,0.0777,"{""EOD"": 26, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST20_M3.0,20,3.0,3.0,3.0,30.0,31,41.94,-19030.71,-1.9,0.7334,3.91,-0.5363,0.0777,"{""EOD"": 26, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST20_M3.5,20,3.5,3.0,3.0,30.0,22,50.0,10827.78,1.08,1.2711,1.86,0.3452,0.0551,"{""EOD"": 20, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST20_M3.5,20,3.5,3.0,3.0,30.0,22,50.0,10827.78,1.08,1.2711,1.86,0.3452,0.0551,"{""EOD"": 20, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST20_M4.0,20,4.0,3.0,3.0,30.0,16,62.5,20072.57,2.01,1.943,0.72,0.8023,0.0401,"{""EOD"": 15, ""SL"": 1}"
ST20_M4.0,20,4.0,3.0,3.0,30.0,16,62.5,20072.57,2.01,1.943,0.72,0.8023,0.0401,"{""EOD"": 15, ""SL"": 1}"
