date,baseline,stoch,rsi,stoch_and_rsi
2025-03-17,-8818.56,-2392.79,-3353.14,-1349.48
2025-03-18,-1014.43,-1003.43,-976.37,-1003.43
2025-03-19,-6443.72,-4135.93,-2314.92,-1926.24
2025-03-20,-5984.97,-4456.49,-4269.63,-2440.66
2025-03-21,-5183.70,-5171.09,-8180.24,-3953.48
2025-03-24,-3780.34,-3124.39,-608.59,-658.77
2025-03-25,-1763.51,-2861.89,1510.32,-95.84
2025-03-26,-1812.15,-1093.59,-1032.87,-1032.87
2025-03-27,-2802.89,-2644.14,389.96,-1017.31
2025-03-28,-4892.15,-4771.03,-3229.01,-2449.21
2025-04-01,-3589.42,-2794.04,-546.11,514.89
2025-04-02,-2607.77,-3087.65,-1127.54,-1104.60
2025-04-03,-902.62,-243.22,-741.14,0.00
2025-04-04,-11407.42,-5954.95,-4723.27,-3350.90
2025-04-07,-1177.76,1938.02,3612.16,1618.30
2025-04-08,-8792.07,-9708.01,-4358.82,-4885.67
2025-04-09,-10241.68,-4266.52,-2446.61,804.27
2025-04-11,-148.91,-156.67,0.00,0.00
2025-04-15,-3681.69,-4170.81,-1696.94,-754.42
2025-04-16,-6205.16,-4628.73,-1021.61,-607.81
2025-04-17,-9451.37,-3417.97,-2211.54,-2189.95
2025-04-21,-7377.64,-3701.73,-2893.12,-918.39
2025-04-22,-8618.72,-6537.55,-4776.49,-4846.52
2025-04-23,-3983.69,-2739.10,-2499.85,-1847.29
2025-04-24,-5070.72,-1916.02,-2828.61,223.29
2025-04-25,-10065.87,-2963.50,-8078.17,-2323.32
2025-04-28,-5083.26,-4688.89,-1806.67,-1628.93
2025-04-29,-8638.03,-5091.00,-3330.48,-2503.55
2025-04-30,-6805.98,-6791.33,-4818.52,-4706.21
2025-05-02,-8302.67,-10293.94,-4516.26,-5199.05
2025-05-05,-893.70,0.00,0.00,0.00
2025-05-06,-5095.07,-4525.44,-5027.53,-2910.53
2025-05-07,-3823.11,-3390.67,-2062.12,-2026.91
2025-05-08,-7032.50,-4899.36,-5294.67,-4203.36
2025-05-09,-6033.04,-4551.26,-2099.37,0.00
2025-05-12,-1663.24,-1738.01,295.33,115.31
2025-05-13,-2351.14,446.47,-2234.75,168.86
2025-05-14,-4183.26,-2206.28,416.68,-507.84
2025-05-15,-9304.55,-11781.66,-11994.56,-7283.75
2025-05-16,-7558.29,-5170.54,-3132.15,-977.57
2025-05-19,-2350.48,-2528.61,-153.97,0.00
2025-05-20,-7977.97,-7514.94,-5921.81,-5723.99
2025-05-21,-918.18,-837.37,0.00,0.00
2025-05-22,-2075.05,-1480.04,-3648.80,-1820.97
2025-05-23,-2596.65,-2461.29,-3119.51,-1157.01
2025-05-26,-4177.15,-789.83,-811.44,-944.08
2025-05-27,-57.45,-455.16,-500.29,-602.59
2025-05-28,-1803.91,-3687.79,-861.97,-846.97
2025-05-29,-82.53,-788.32,-787.61,-793.17
2025-05-30,-5644.20,-4558.53,-1823.76,-1823.76
2025-06-02,-7966.68,-3276.41,-5396.81,-673.75
2025-06-03,-4067.32,-1104.05,-1953.62,-903.02
2025-06-04,-4229.49,-2857.45,-1173.81,-1005.82
2025-06-05,-8396.58,-4833.61,-2788.96,-2944.07
2025-06-06,-1130.68,-73.16,0.00,0.00
2025-06-09,-3470.18,-4931.20,-2360.18,-919.68
2025-06-10,-4265.67,-2438.40,-2499.00,-1374.76
2025-06-11,-6014.82,-6800.27,-4931.13,-5778.15
2025-06-12,-6054.18,-7514.37,-10265.60,-5454.99
2025-06-13,-5240.13,-2994.21,-1786.06,-1055.86
2025-06-16,-4387.59,-1220.56,-1682.15,0.00
2025-06-17,-7260.91,-4691.62,-3606.95,-2726.22
2025-06-18,-5697.86,-2889.60,-850.58,-23.65
2025-06-19,-5285.04,-5364.41,-4315.67,-2798.94
2025-06-20,-1851.25,-798.88,284.43,69.47
2025-06-23,-2801.93,-4982.06,-2011.39,-1981.27
2025-06-24,-7189.19,-5533.27,-2649.05,-2580.77
2025-06-25,-4285.95,-3367.04,-1163.19,-1065.72
2025-06-26,-8117.24,-3275.06,-1935.96,-800.23
2025-06-27,-4929.56,-4350.63,-1178.93,-2770.40
2025-06-30,-1372.01,-1108.89,-91.27,-138.55
2025-07-01,-6832.19,-4356.71,-3774.33,-2145.91
2025-07-02,-7218.96,-2866.56,-3691.40,-1614.98
2025-07-03,-3754.63,-2665.13,-14.01,-126.18
2025-07-04,-4347.67,-3199.22,-3417.75,-1415.66
2025-07-07,-7882.50,-2073.72,-2714.53,-1465.51
2025-07-08,-360.58,-100.89,-246.78,-259.68
2025-07-09,-3056.13,-665.48,-2190.09,-59.50
2025-07-10,-6190.41,-5543.70,-2873.50,-2501.05
2025-07-11,-7325.53,-4515.04,-1710.04,318.76
2025-07-14,-3560.01,-3576.10,-436.07,435.56
2025-07-15,-7475.05,-6897.16,-4460.23,-3562.82
2025-07-16,-965.86,-850.98,-807.21,-85.37
2025-07-17,-2495.50,-2936.12,-2494.88,-2483.89
2025-07-18,-5300.00,-3632.03,-2536.75,-1106.81
2025-07-21,-3097.85,-3675.49,-849.66,-863.57
2025-07-22,-6418.24,-3545.83,-2601.40,-2333.97
2025-07-23,-4912.96,-3071.51,-1943.75,-1885.39
2025-07-24,-1644.94,-618.81,-1651.11,-601.55
2025-07-25,-8671.11,-894.68,-5889.81,-55.73
2025-07-28,-7362.68,-6257.96,-5073.26,-5090.15
2025-07-29,-2158.28,-161.70,-913.95,0.00
2025-07-30,-3490.62,-4084.02,-2063.08,-3068.62
2025-07-31,-3483.62,-5384.34,-1580.19,-2458.12
2025-08-01,-304.25,42.47,-1438.59,0.00
2025-08-04,-2561.46,-3770.39,-590.91,-1085.78
2025-08-05,-6360.54,-1778.75,-2525.31,-646.93
2025-08-06,-7281.66,-7371.31,-2726.74,-808.18
2025-08-07,-6488.32,-3808.03,-2607.96,-136.90
2025-08-08,-5404.14,-1460.01,-1643.21,158.41
2025-08-11,-3220.50,-5352.07,-2306.97,-2308.93
2025-08-12,-8101.70,-7322.02,-5544.06,-2109.64
2025-08-13,-7093.78,-7728.29,-6329.35,-5949.51
2025-08-14,-7023.11,-3428.47,-2238.97,-2334.57
2025-08-18,-6531.93,-6635.76,-4777.53,-3052.77
2025-08-19,-5902.04,-8187.22,-5738.44,-4693.10
2025-08-20,-9301.89,-6579.39,-6165.92,-3929.21
2025-08-21,-9426.51,-5633.63,-5947.71,-2314.33
2025-08-22,-5999.26,-6012.12,-3640.96,-2914.67
2025-08-25,-1555.94,-1499.59,0.00,0.00
2025-08-26,-5125.28,-6327.56,-1231.47,-1578.42
2025-08-28,-3630.74,-2986.21,-3604.92,-2583.19
2025-08-29,-5286.28,-4755.96,-3925.70,-3303.92
2025-09-01,-6559.96,-4656.38,-2027.85,-2010.65
2025-09-02,-145.56,-80.37,0.00,0.00
2025-09-03,-5088.62,-6096.93,-4332.49,-2749.14
2025-09-04,-7676.25,-5280.99,-3861.15,-3277.85
2025-09-05,-9016.14,-8672.14,-5564.76,-5676.54
2025-09-08,-6590.42,-4606.46,-2766.23,-838.03
2025-09-09,-5572.73,-4268.01,-2660.26,-136.02
2025-09-10,-187.54,-595.56,-595.56,-595.56
2025-09-11,-6234.32,-5388.38,-2886.21,-2663.44
2025-09-12,-6866.40,-3424.01,-2779.69,-1550.82
2025-09-15,-5504.03,-3220.77,-1366.44,-1045.44
2025-09-16,-5835.83,-3499.02,-3642.08,-1789.62
2025-09-17,-5073.76,-4770.80,-2323.41,-1555.62
2025-09-18,-889.61,0.00,0.00,0.00
2025-09-19,-6113.95,-2490.06,-4251.40,-1861.34
2025-09-22,-4204.52,-4741.67,-2671.99,-2828.15
2025-09-23,-818.94,-3468.21,-634.88,118.04
2025-09-24,-7480.61,-7408.53,-4342.03,-4752.13
2025-09-25,-6542.85,-5632.08,-5645.16,-4646.63
2025-09-26,-1726.86,-579.80,-879.27,-561.17
2025-09-29,-5933.19,-4445.72,-1714.55,345.23
2025-09-30,-7154.07,-5740.92,-4373.61,-2670.03
2025-10-01,-5462.02,-2662.94,-2539.01,-2554.70
2025-10-03,-7529.56,-4269.32,-3611.17,-2364.10
2025-10-06,-9047.47,-4891.30,-2509.39,-1341.74
2025-10-07,-4842.75,-3564.03,-595.38,-1990.68
2025-10-08,-7514.51,-4469.30,-3839.47,-1956.84
2025-10-09,-5609.68,-4551.78,-1794.30,-1953.87
2025-10-10,-5397.61,-2163.32,-2639.94,-1120.83
2025-10-13,-3276.40,-3795.64,-2055.60,0.00
2025-10-14,-5476.07,-1333.18,-1699.17,-1004.97
2025-10-15,-5352.75,-3042.64,-5009.40,-2394.86
2025-10-16,-5318.43,-3565.00,-6216.70,-4149.25
2025-10-17,-5722.37,-5285.67,-2522.07,-1805.42
2025-10-20,134.88,0.00,0.00,0.00
2025-10-23,-8143.61,-7932.84,-3580.19,-1169.33
2025-10-24,-7195.77,-2333.34,-2112.00,-1355.60
2025-10-27,-5566.63,-4074.09,-2571.73,-793.49
2025-10-28,-1603.18,-898.51,-1595.56,-784.10
2025-10-29,-6138.87,-3809.37,-5654.30,-1138.83
2025-10-30,-6253.25,-3941.36,-1538.35,-914.56
2025-10-31,-5216.18,-4625.51,-2846.58,-396.56
2025-11-03,-6723.98,-4829.36,-2258.04,-1554.72
2025-11-04,-4403.85,-3243.14,-1108.04,570.25
2025-11-06,-5628.86,-4413.59,-4696.40,-1918.42
2025-11-07,-3240.89,-3750.21,-1621.39,-1110.37
2025-11-10,-5741.36,-2311.70,-1686.63,-2464.17
2025-11-11,-4266.69,-4000.51,418.20,-1213.65
2025-11-12,-2948.72,-2508.20,-2035.34,-1743.79
2025-11-13,-759.65,-1407.77,0.00,0.00
2025-11-14,-4704.29,-1987.75,-811.41,-13.02
2025-11-17,-4263.75,-3564.84,-1845.34,-1505.38
2025-11-18,-6310.57,-6757.54,-2374.01,141.08
2025-11-19,-6638.32,-6621.43,-3001.98,-2822.48
2025-11-20,-6002.82,-5301.20,-1954.95,-1208.15
2025-11-21,-844.66,-887.74,-884.48,-125.20
2025-11-24,-5086.13,-6448.66,-1907.20,-1958.51
2025-11-25,-4778.17,-3883.81,-713.39,-174.69
2025-11-26,-3357.36,-1809.10,-73.30,-97.48
2025-11-27,-4660.00,-5032.12,-3951.12,-2427.48
2025-11-28,-3884.28,-4560.82,-2269.86,-2196.18
2025-12-01,-5277.86,-3153.07,124.85,207.75
2025-12-02,-4786.08,-2046.46,-3067.88,-1053.54
2025-12-03,-5278.17,-2987.41,-2459.96,-1723.98
2025-12-04,-8222.21,-4858.82,-2200.94,-332.62
2025-12-05,-5902.13,-2826.50,-2767.03,-1798.12
2025-12-08,-8680.24,-7728.54,-7183.85,-7319.16
2025-12-09,-5586.14,-6539.95,-4107.14,-1862.16
2025-12-10,-6313.48,-5373.81,-3644.21,-3442.33
2025-12-11,-6012.79,-5099.12,-6351.28,-3578.69
2025-12-12,-4606.92,-5908.38,-831.98,-803.12
2025-12-15,-170.84,-1609.13,-784.67,-784.67
2025-12-16,-8305.85,-5419.20,-1075.55,-166.41
2025-12-17,-4112.45,-5609.55,-3368.13,-2815.12
2025-12-18,-8430.18,-4801.75,-4315.31,-2471.92
2025-12-19,-5158.83,-4921.67,-3242.44,-1881.35
2025-12-22,-3578.12,-5044.35,-4005.74,-3596.21
2025-12-23,-738.83,-172.09,-184.28,0.00
2025-12-24,-6720.74,-7045.05,-1863.10,-1023.08
2025-12-26,-4497.61,-4692.48,-4830.84,-561.49
2025-12-29,-7050.14,-3678.13,-899.03,38.06
2025-12-30,-5257.18,-4027.42,-4578.44,-1864.20
2025-12-31,-1405.69,-799.01,0.00,0.00
2026-01-01,-7382.74,-4562.37,-4018.03,-2311.56
2026-01-02,-7017.23,-4490.42,-3145.21,-2949.99
2026-01-05,-3970.48,-2462.64,-1322.39,-281.86
2026-01-06,-7031.34,-6454.14,-2371.12,-2627.44
2026-01-07,-5169.59,-2170.47,-3369.22,-3374.75
2026-01-08,-890.03,363.00,0.00,0.00
2026-01-09,-4560.09,-5826.31,-7729.02,-4033.77
2026-01-12,-1841.45,-3915.99,-1202.69,-849.66
2026-01-13,-6150.09,-1125.93,-3771.61,-1549.15
2026-01-14,-6534.01,-4220.31,-3366.53,284.74
2026-01-16,-1874.13,-919.54,-955.86,15.41
2026-01-19,-8521.57,-5567.58,-2576.50,454.18
2026-01-20,-7651.57,-9968.18,-7306.92,-6289.19
2026-01-21,-4157.78,-3622.55,39.95,-442.32
2026-01-22,-4318.22,-1074.78,-1791.54,-701.89
2026-01-23,-8154.86,-8021.38,-195.58,1557.15
2026-01-27,-5733.24,-3412.48,-4478.94,-984.34
2026-01-28,-4161.24,-762.71,1198.15,156.75
2026-01-29,-2436.79,-1475.40,-1303.53,-245.55
2026-01-30,-6652.67,218.24,-3125.63,-596.24
2026-02-01,-1107.76,-1358.53,-1358.53,-1358.53
2026-02-02,-7111.01,-7122.49,-4502.43,-3202.58
2026-02-03,-9904.76,-1818.33,-2522.94,-1250.94
2026-02-04,-3443.79,-3651.23,-1347.08,-1764.08
2026-02-05,-6116.60,-6261.58,-2985.76,-997.66
2026-02-06,-5228.46,-2043.26,735.78,-740.19
2026-02-09,-766.48,-98.14,0.00,0.00
2026-02-10,-4325.41,-1036.64,-2823.40,-985.06
2026-02-11,-5139.67,-3699.69,-2792.94,-1926.89
2026-02-12,-3150.94,-832.19,-664.06,211.71
2026-02-13,-6535.02,-5304.68,-3511.84,-2810.35
2026-02-16,-1191.73,-4872.97,-3393.72,-1042.72
2026-02-17,-106.70,0.00,0.00,0.00
2026-02-18,-6388.72,-2845.78,-1811.17,-1304.29
2026-02-19,-9468.13,-5172.47,-6547.16,-3069.53
2026-02-20,-6167.11,-5306.93,-2687.10,-1619.29
2026-02-23,-2820.42,-2625.11,-3919.65,-2984.71
2026-02-24,-1022.83,-2650.25,-1228.49,-159.48
2026-02-25,-1727.94,-1789.36,-1716.57,-879.32
2026-02-26,-8145.86,-2738.05,-4120.43,-865.32
2026-02-27,-1628.78,-961.43,-1164.58,-1325.46
2026-03-02,-8575.62,-6215.65,-2942.71,-2155.23
2026-03-04,-1022.62,-4233.67,-3452.55,-3412.15
2026-03-05,-924.65,10.95,0.00,0.00
2026-03-06,-5919.28,-5318.08,-3057.14,-483.07
2026-03-09,-9532.48,-3158.66,-2875.23,-2189.25
2026-03-10,-6948.81,-3952.57,-3618.06,-1831.07
2026-03-11,-3947.75,-7655.16,-5139.75,-5091.51
2026-03-12,-6065.83,-6592.79,13.81,579.87
