date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2024-03-18,-10.71,-1028.48,-2217.75,-1574.12,0.00,0.00,-1633.48,-132.56
2024-03-19,-2984.35,-2984.35,-3711.66,-1168.85,-5217.52,-219.11,-1168.85,-10185.66
2024-03-20,-8890.24,-8890.24,-1097.96,-7256.66,-6027.85,-8890.24,0.00,-7105.43
2024-03-21,-4529.18,-4529.18,-2322.69,-2322.69,-4529.18,-4529.18,-2322.69,-4343.03
2024-03-22,-2298.64,-2298.64,3866.81,-2298.64,-2298.64,-2298.64,3866.81,7169.07
2024-03-26,147.39,147.39,-147.33,294.72,147.39,294.72,0.00,-4573.35
2024-03-27,3173.37,3173.37,-1274.93,-834.59,1894.43,5646.15,-1274.93,2335.94
2024-03-28,9325.23,11480.55,14553.30,14037.96,9325.23,9325.23,11995.89,4645.64
2024-04-01,2708.92,2708.92,-478.80,992.47,1760.77,3140.35,-478.80,3656.48
2024-04-02,-8195.93,-8156.40,724.15,-8195.93,-8156.40,-8156.40,787.36,-10175.16
2024-04-03,-7403.04,-7403.04,2258.79,-4355.54,-7596.56,-7403.04,2258.79,-2027.14
2024-04-04,-12439.75,-12439.75,-11247.40,-14342.51,-12708.50,-12439.75,-11247.40,5712.37
2024-04-05,-3345.66,-3089.88,-3848.12,-3848.12,-154.15,-4621.59,-3848.12,-2778.90
2024-04-09,2561.39,2561.39,4802.45,6967.13,-1356.64,2561.39,4802.45,-4331.32
2024-04-10,1393.00,1393.00,1168.83,1926.26,2633.29,1393.00,1168.83,-4997.03
2024-04-12,-8241.68,-8241.68,-1349.73,-4979.89,-8241.68,-8241.68,-649.46,2340.35
2024-04-15,-6448.84,-6448.84,-6448.84,-2773.10,-3578.09,-2773.10,-5784.18,-4151.29
2024-04-18,-3142.87,-3142.87,5338.13,-342.31,-3142.87,-3142.87,5338.13,-2700.82
2024-04-19,1267.57,1267.57,2132.23,-1295.43,4869.27,1267.57,2132.23,11441.40
2024-04-22,1936.63,1936.63,-1201.49,-1201.49,2378.97,1177.49,-1201.49,-2532.79
2024-04-23,-3217.89,-3217.89,-1983.18,-1983.18,-1983.18,-1983.18,-1983.18,-7816.43
2024-04-25,-4037.30,-4037.30,530.59,891.60,-5431.59,-5431.59,530.59,-4413.32
2024-04-26,583.84,583.84,-1813.15,967.61,-1510.80,583.84,-1813.15,2028.57
2024-04-29,-10404.40,-10404.40,-8968.32,-10628.40,-10404.40,-10404.40,-8968.32,3612.62
2024-04-30,-9109.65,-9109.65,-3294.48,-9109.65,-9109.65,-9109.65,-3294.48,-14140.70
2024-05-03,6520.82,6520.82,7189.73,10169.22,4148.07,6520.82,7189.73,6155.49
2024-05-06,-8035.01,-7441.57,-5786.23,-6098.14,-8035.01,-9389.13,-5786.23,-4837.36
2024-05-07,-1732.40,-1732.40,-647.83,-1732.40,-1732.40,-1732.40,-647.83,-634.95
2024-05-08,1129.25,1129.25,490.67,545.40,-2003.09,1129.25,490.67,-4531.28
2024-05-09,-3418.59,-4049.34,-1134.53,-4049.34,1744.76,-3418.59,-1134.53,8818.81
2024-05-13,4822.05,4822.05,2637.95,-73.98,3000.53,2013.09,2637.95,13102.38
2024-05-14,-2224.63,-2224.63,-2224.63,-2224.63,-1285.72,-2224.63,-2224.63,-1623.21
2024-05-15,-1227.26,-1227.26,-4335.69,-425.18,-1227.26,-1227.26,-4335.69,-5533.58
2024-05-16,-1219.78,-1219.78,-2280.13,-4251.94,-1219.78,-1219.78,-2280.13,2048.88
2024-05-17,-1012.01,-1012.01,-175.14,-837.65,-941.00,-1012.01,-175.14,-10191.51
2024-05-21,1320.96,1320.96,1173.41,1173.41,925.42,1320.96,1173.41,4287.10
2024-05-22,-11041.13,-11041.13,-7367.57,-7367.57,-7922.88,-11041.13,-7367.57,-6361.50
2024-05-23,5038.11,5038.11,3014.66,5038.11,3733.65,3733.65,3014.66,-2543.04
2024-05-24,-4731.74,-4731.74,-3993.43,-4731.74,-4731.74,-4731.74,-3993.43,-16052.77
2024-05-27,644.54,644.54,-3.52,644.54,644.54,644.54,-1465.97,-1926.06
2024-05-28,-5483.40,-5483.40,-5680.82,-5049.47,-5326.13,-5483.40,-4896.32,-6773.32
2024-05-29,620.39,-2674.03,39.37,620.39,-2112.78,620.39,-3255.05,-9733.59
2024-05-30,-10365.17,-10365.17,-10365.17,-10365.17,-10365.17,-10365.17,-10365.17,-10943.58
2024-05-31,-7719.76,-10761.30,-6613.09,-6587.10,-5090.28,-7719.76,-6613.09,2182.06
2024-06-04,56.45,56.45,-3496.81,56.45,56.45,56.45,-3496.81,2689.24
2024-06-05,18494.52,18494.52,722.36,7990.30,10289.59,18494.52,722.36,22121.96
2024-06-06,-1339.16,-1339.16,-1530.55,-4791.37,1585.62,-1339.16,-1530.55,-3445.47
2024-06-07,-3883.49,-3883.49,-2152.57,-3883.49,-4546.87,-3883.49,-2152.57,-2958.81
2024-06-10,-8650.59,-8650.59,-3757.32,-8270.45,-8650.59,-8650.59,-3757.32,-9815.93
2024-06-12,-1512.36,-1512.36,5463.67,2779.17,-1512.36,-1512.36,5463.67,2237.61
2024-06-13,-9059.45,-8942.02,-3445.16,-8573.11,-7295.43,-9059.45,-784.08,-5870.49
2024-06-14,-92.50,-92.50,4634.69,4634.69,-92.50,-92.50,4634.69,-2277.82
2024-06-18,448.92,747.17,-448.94,1557.34,1259.08,747.17,-448.94,-229.40
2024-06-20,-3041.43,-3041.43,-3552.97,-3041.43,-2478.07,-3041.43,-3552.97,-1384.95
2024-06-21,-6084.84,-6084.84,-4601.56,-6756.02,-6756.02,-6084.84,-4601.56,-6586.01
2024-06-24,-11800.02,-8122.62,-807.52,-4787.70,-10696.67,-11800.02,-807.52,-8691.83
2024-06-25,-1609.47,-1609.47,-1052.34,-1160.97,1209.26,-932.34,-1052.34,5317.83
2024-06-26,-1778.48,-1778.48,-2941.82,-1247.68,-1607.64,-1778.48,-2396.06,-4770.08
2024-06-28,-1096.27,-1096.27,-2231.37,-1096.27,-1096.27,-1096.27,-2231.37,-6130.76
2024-07-01,-665.26,-665.26,0.00,-665.26,-665.26,-665.26,0.00,-5655.20
2024-07-02,-1564.97,-1602.61,-4179.77,-1726.22,2517.63,-1564.97,-4179.77,-8017.87
2024-07-03,-3507.47,-3507.47,-5207.19,-2443.86,-3507.47,-3507.47,-5207.19,-3209.17
2024-07-04,-3006.65,-3006.65,-2755.14,-5003.96,-956.88,-3006.65,-2755.14,-2919.01
2024-07-08,-1059.92,-3077.68,2931.72,2931.72,-1117.67,-1059.92,913.96,-4584.20
2024-07-09,-3065.38,-3976.82,-2742.13,-2657.62,-3065.38,-3000.68,-2742.13,-8482.05
2024-07-10,3327.19,3327.19,1090.84,3327.19,3327.19,3327.19,1090.84,8414.61
2024-07-11,-6740.05,-6533.74,-6740.05,-6740.05,-7007.89,-6740.05,-6533.74,-9536.53
2024-07-12,-4839.55,-4839.55,-2400.19,-4839.55,-4839.55,-4839.55,-2400.19,-5162.01
2024-07-15,2818.42,2818.42,3607.99,2818.42,2818.42,2818.42,3607.99,-1648.69
2024-07-16,-4875.24,-4875.24,-3684.10,-4875.24,-3222.10,-4822.30,-2927.99,-5911.55
2024-07-18,-2086.21,-2086.21,-3636.19,-2086.21,-1463.59,-2086.21,-3636.19,-2635.67
2024-07-19,-5631.83,-5631.83,-5631.83,-5631.83,-4221.16,-4221.16,-5631.83,340.24
2024-07-22,-7789.28,-7789.28,-4452.05,-8435.86,-7241.73,-7789.28,-4452.05,-12790.92
2024-07-23,1636.20,-3152.14,1853.84,-3152.14,3497.23,3497.23,1853.84,-8327.86
2024-07-24,-7319.13,-7319.13,-4949.31,-4704.95,-8129.17,-7319.13,-4949.31,-1607.50
2024-07-25,-5937.56,-5937.56,-4987.91,-6484.47,-5937.56,-5937.56,-4987.91,-7538.52
2024-07-26,5386.17,5386.17,639.85,2988.08,5386.17,5386.17,639.85,2312.52
2024-07-30,-10258.67,-7661.37,-6053.72,-8651.02,-10258.67,-10258.67,-6053.72,-8394.67
2024-07-31,-3699.66,-3233.37,-4289.29,-5668.63,-3699.66,-3699.66,-4289.29,-2769.12
2024-08-01,-2261.09,-2261.09,-570.94,-4665.40,-2219.54,-2261.09,0.00,3322.11
2024-08-02,-74.13,-74.13,-74.13,-74.13,-74.13,-74.13,-74.13,-2841.00
2024-08-05,-2515.77,-2515.77,-2515.77,-2515.77,-2515.77,-2515.77,-2515.77,-4981.18
2024-08-07,-10250.00,-10759.97,-7958.64,-9666.60,-10250.00,-10250.00,-7958.64,-6539.07
2024-08-08,-10178.05,-10178.05,-7746.02,-7746.02,-7746.02,-10178.05,-7746.02,-5912.24
2024-08-09,-4081.21,-4909.91,-4780.24,-2698.38,-4548.60,-3956.62,-5130.09,-10406.73
2024-08-12,-12540.20,-12540.20,-11634.56,-12540.20,-11634.56,-12540.20,-11634.56,-12058.00
2024-08-13,-3113.13,-3113.13,-4234.26,-5365.61,-7639.80,-3113.13,-4234.26,-5436.68
2024-08-16,1883.02,1883.02,2414.77,1883.02,1988.28,1883.02,2414.77,-834.04
2024-08-19,-4095.63,-4095.63,-3606.16,-4095.63,-4095.63,-4095.63,-3537.58,-1292.37
2024-08-20,-19.39,-19.39,2999.39,2999.39,-19.39,-19.39,970.26,-9834.80
2024-08-21,-4487.64,-4487.64,-904.98,-2540.56,-3015.99,-4487.64,-904.98,1023.40
2024-08-23,-3047.89,-3047.89,0.00,-3009.07,-2623.86,-3047.89,0.00,-792.59
2024-08-26,-1867.06,-1867.06,-1867.06,-1867.06,-2017.43,-1867.06,-1867.06,443.48
2024-08-27,-3286.29,-3286.29,-3589.20,-3241.13,-3286.29,-3682.19,-3589.20,-4731.16
2024-08-28,2650.89,2650.89,3523.25,2637.88,3950.27,2007.60,3523.25,-1503.76
2024-08-29,-2324.62,-2324.62,-1082.50,-27.01,-878.19,82.81,-1082.50,-7990.50
2024-09-02,-11815.17,-12990.59,-9473.93,-11815.17,-11537.41,-11815.17,-10641.86,-9170.85
2024-09-03,-8431.61,-8431.61,-7048.34,-9264.41,-7436.26,-8431.61,-6094.29,-280.32
2024-09-04,-3960.76,-3960.76,1132.78,-792.82,-4042.09,-3960.76,211.27,-3718.56
2024-09-05,-2056.04,-2056.04,1372.60,765.37,-3428.64,-2056.04,1372.60,-1822.39
2024-09-06,-13667.11,-13667.11,-11874.58,-13361.25,-13667.11,-13743.12,-11874.58,6445.73
2024-09-09,-11110.81,-11110.81,-2093.55,-9076.15,-10313.88,-10313.88,-2093.55,-9049.31
2024-09-10,413.43,413.43,2714.81,1492.98,413.43,413.43,600.49,1048.48
2024-09-11,1431.14,1431.14,3810.05,1431.14,1431.14,1431.14,3810.05,-17121.70
2024-09-12,6675.76,6189.09,6827.63,10676.53,6675.76,5140.61,6340.96,-3546.48
2024-09-13,-613.96,-613.96,-613.96,-613.96,-613.96,-613.96,-613.96,-1333.44
2024-09-16,-5105.68,-5105.68,-3909.64,-3568.47,-3227.60,-3365.56,-3909.64,-3923.40
2024-09-17,-5223.28,-3538.52,-1962.30,-1962.30,-5213.16,-4912.29,-1962.30,-3812.77
2024-09-18,-4938.60,-4938.60,-5740.70,-7486.94,-5912.06,-1912.13,-5740.70,-2073.36
2024-09-19,518.33,518.33,-1388.38,437.59,1907.51,518.33,-201.86,4565.31
2024-09-20,-2034.06,-2034.06,3273.03,683.06,-654.54,-2034.06,3273.03,-2948.72
2024-09-24,2543.70,2543.70,0.00,2543.70,0.00,2543.70,0.00,1976.48
2024-09-25,-5560.24,-5560.24,-5963.50,-6329.47,-5560.24,-5560.24,-5963.50,-5426.55
2024-09-26,-451.38,-451.38,1652.84,-592.70,-2456.35,-1745.80,1652.84,6728.19
2024-09-27,-2537.88,-2537.88,-2204.00,-2537.88,-2204.00,-2537.88,-2204.00,5762.36
2024-09-30,5725.04,5725.04,3325.33,4941.35,5725.04,5725.04,3325.33,-11651.30
2024-10-03,3383.06,3383.06,2401.77,2401.77,3383.06,3383.06,2401.77,992.41
2024-10-04,-12398.38,-12398.38,-7184.93,-11240.12,-12398.38,-12398.38,-7184.93,-14813.19
2024-10-07,5354.60,8095.80,8095.80,8095.80,5354.60,5354.60,8095.80,5156.75
2024-10-08,139.40,139.40,0.00,-91.49,-2065.45,139.40,0.00,-6744.27
2024-10-10,2543.39,117.50,3000.95,3000.95,2012.56,2012.56,575.07,4682.62
2024-10-11,1842.99,1842.99,1980.13,223.77,1842.99,1842.99,1980.13,-6580.94
2024-10-14,787.37,787.37,1324.03,1324.03,450.53,787.37,1324.03,-1953.58
2024-10-15,-6887.78,-6887.78,-4614.92,-9446.32,-6887.78,-6887.78,-4578.38,-2406.65
2024-10-16,-3858.09,-3858.09,-4646.27,-3858.09,-4168.97,-3858.09,-2693.62,-11415.91
2024-10-18,4425.34,4425.34,4493.15,4552.07,4552.07,4425.34,4493.15,10533.32
2024-10-21,2285.37,2285.37,1308.64,1136.72,-1333.91,-2532.44,1308.64,-2563.14
2024-10-22,-4458.04,-4458.04,-2621.30,-4458.04,-4458.04,-4458.04,-2621.30,-761.48
2024-10-23,539.03,539.03,-2651.75,539.03,2629.06,539.03,-2651.75,-8081.17
2024-10-24,-4373.94,-4373.94,-2083.97,-4995.11,-3281.80,-4373.94,-2083.97,-7369.72
2024-10-28,-1618.15,369.98,-3464.58,-856.13,-2716.98,-1618.15,-624.21,988.99
2024-10-29,-1985.83,-1985.83,3969.03,3891.02,2917.50,-1985.83,3969.03,34.38
2024-10-30,576.40,4338.29,-5206.68,-2280.08,576.40,576.40,-3695.87,1234.79
2024-10-31,-2119.57,-2119.57,-6770.54,-3767.32,-2119.57,-2119.57,-6770.54,-8039.71
2024-11-04,2863.57,7300.19,511.93,1669.23,2863.57,2863.57,4895.96,1450.90
2024-11-05,-3809.12,-3809.12,-227.65,-2494.38,-3809.12,-3809.12,-227.65,-4418.52
2024-11-06,-116.46,-116.46,0.00,-575.03,-575.03,-116.46,0.00,2094.61
2024-11-07,-1083.98,-1083.98,-5528.69,-3013.11,-1083.98,-1083.98,-4299.16,-3262.84
2024-11-08,-1916.74,-1916.74,2400.52,2400.52,2460.96,-1916.74,2400.52,-5623.20
2024-11-11,-5178.52,-5178.52,-7260.28,-5545.12,-5178.52,-5178.52,-7260.28,-3459.37
2024-11-12,1229.22,1229.22,-31.15,1229.22,-3789.76,1229.22,-31.15,-2587.34
2024-11-13,2334.86,2334.86,2334.86,2334.86,2334.86,2334.86,2334.86,651.67
2024-11-14,-6576.78,-6576.78,-738.24,-1307.94,-3804.72,-6576.78,-738.24,-3692.15
2024-11-19,-8955.67,-8955.67,-2645.24,-4849.07,-6525.23,-8955.67,-2645.24,-8615.03
2024-11-21,-6.37,-6.37,3298.74,516.71,-6.37,-6.37,3298.74,-6903.30
2024-11-22,9508.66,9508.66,5026.30,9202.43,9508.66,9508.66,5026.30,-3884.60
2024-11-25,-3573.20,-3573.20,-5332.17,-3573.20,4583.47,-3573.20,-5332.17,-8413.21
2024-11-27,-6143.17,-3465.73,-1950.80,-1950.80,-8991.39,-4477.27,-1950.80,-8042.56
2024-11-28,563.59,563.59,692.13,1919.25,-727.70,563.59,692.13,2316.55
2024-11-29,2978.43,2978.43,8611.07,5302.75,2978.43,3725.63,8611.07,3053.20
2024-12-02,-2424.27,-2424.27,-2424.27,-2424.27,-2424.27,-2424.27,-1647.06,-5768.32
2024-12-03,-7382.66,-3942.17,-3942.17,-3942.17,-7382.66,-7382.66,-3942.17,-4510.24
2024-12-05,-7623.54,-7623.54,-1919.25,-5691.92,-7623.54,-7623.54,-1919.25,-1629.90
2024-12-06,-1147.49,-1147.49,-1167.62,-1167.62,-1147.49,-1147.49,-506.88,-6762.31
2024-12-09,-7266.17,-7266.17,-1546.26,-1660.91,-7266.17,-7266.17,-1546.26,-3818.19
2024-12-10,-3751.71,-3921.83,-1912.63,-4243.59,-2133.87,-1590.87,-1349.66,-6501.67
2024-12-11,-1293.53,-1293.53,-2922.10,-1750.46,-1293.53,-1293.53,-2922.10,-2988.20
2024-12-13,513.55,513.55,3312.58,513.55,-2158.23,-824.83,3312.58,10329.08
2024-12-16,-5725.72,-5725.72,-4058.08,-4864.43,-4433.50,-5294.79,-4058.08,-1232.59
2024-12-17,-3413.55,-3413.55,-546.80,-3413.55,-3413.55,-3501.77,156.89,3596.78
2024-12-18,-1309.34,-1309.34,921.32,921.32,-1309.34,921.32,921.32,-5103.13
2024-12-19,-1529.12,-1529.12,885.77,-578.46,-2153.31,-1529.12,858.52,-4096.87
2024-12-23,-2167.17,-2167.17,-4490.81,-2167.17,-2167.17,-2167.17,-4490.81,-5312.42
2024-12-24,-3637.25,-3637.25,4494.64,-1124.39,-4075.13,-3637.25,4494.64,-21628.47
2024-12-26,5787.95,5787.95,2596.17,6372.01,5787.95,5787.95,2596.17,-10364.96
2024-12-27,2366.56,2366.56,4634.85,2366.56,2366.56,2366.56,4634.85,-5809.76
2024-12-30,-281.40,-281.40,-3805.62,-3500.50,-1624.03,-1624.03,-3805.62,557.99
2024-12-31,-6686.60,-6151.00,-4422.94,-6822.03,-4112.83,-8696.42,-1877.52,-6461.81
2025-01-01,-11953.36,-11953.36,-11438.26,-10827.50,-11029.60,-11953.36,-11438.26,-8815.35
2025-01-02,1450.82,1450.82,-537.44,-537.44,1450.82,1450.82,-537.44,5093.86
2025-01-03,4284.12,4284.12,3399.82,4284.12,4284.12,4284.12,3399.82,-3929.72
2025-01-06,1690.55,1690.55,-2473.64,-3447.26,1690.55,1690.55,-2473.64,-4206.27
2025-01-07,-7235.67,-10334.59,-2627.98,-5374.56,-7235.67,-10514.95,-5907.26,-5686.81
2025-01-08,1598.27,1598.27,-2060.10,1598.27,723.19,1598.27,-2060.10,2350.25
2025-01-09,-9509.11,-9509.11,-5811.48,-9509.11,-6978.11,-9509.11,-5811.48,-10191.81
2025-01-10,-5808.23,-5808.23,-4064.01,-4313.75,-4313.75,-5808.23,-4064.01,-9056.01
2025-01-14,-2229.01,-2229.01,-2360.40,-5239.59,-2229.01,-2229.01,-2360.40,-8323.96
2025-01-15,-16071.18,-16071.18,-9220.15,-13219.46,-11544.35,-16071.18,-9220.15,-12755.87
2025-01-16,189.46,189.46,189.46,189.46,189.46,189.46,189.46,4158.38
2025-01-17,-4180.86,-4562.30,-2568.53,-4562.30,-4180.86,-4562.30,-2568.53,-10504.24
2025-01-20,-3417.51,-3493.05,-3178.18,-3178.18,-1672.44,-3417.51,-4522.56,-69.37
2025-01-22,-832.30,-738.80,0.00,-738.80,-100.55,-832.30,0.00,-210.42
2025-01-23,-593.24,-593.24,0.82,1245.63,746.47,-593.24,-19.46,5890.53
2025-01-24,-19424.86,-19424.86,-19424.86,-19424.86,-19424.86,-19424.86,-19424.86,-22323.89
2025-01-27,-4145.23,-4145.23,-3386.18,-4145.23,-4145.23,-4145.23,-3386.18,-7658.29
2025-01-28,-12224.39,-12224.39,4870.01,-7260.94,-10111.12,-12224.39,4870.01,-13670.33
2025-01-30,-8984.35,-8984.35,-2931.17,-10266.00,-4389.32,-8984.35,-2931.17,2127.70
2025-01-31,-2981.70,-2981.70,-4622.10,-2981.70,-2084.90,-2981.70,-4622.10,-5824.00
2025-02-01,-11959.00,-14450.23,-6028.20,-8141.04,-11959.00,-11959.00,-6028.20,-7352.40
2025-02-03,4499.12,5913.97,768.06,2787.27,5913.97,4499.12,768.06,1479.06
2025-02-04,3691.68,3691.68,270.91,2718.06,4578.12,4578.12,0.00,1588.68
2025-02-05,-5796.03,-5796.03,-1716.24,-4233.07,-6102.56,-5796.03,-1266.48,-7726.72
2025-02-07,-6621.33,-5977.45,-3148.75,-5977.45,-7032.55,-6621.33,-3148.75,-3654.11
2025-02-10,-7857.43,-2619.07,-7170.18,-7170.18,-7857.43,-7857.43,-1931.83,267.82
2025-02-11,1890.76,3037.05,-3210.00,1890.76,1890.76,1890.76,-2063.70,2669.49
2025-02-12,-21530.23,-21530.23,-10956.72,-14599.90,-11751.17,-17942.38,-10533.92,-4566.42
2025-02-13,2723.04,2723.04,3191.06,3191.06,-2469.67,2723.04,3191.06,1886.48
2025-02-17,3562.58,3562.58,3116.71,3562.58,3562.58,3562.58,3116.71,6088.14
2025-02-18,-5471.14,-5471.14,-4189.74,-5435.10,-3634.87,-5471.14,-4189.74,-11711.88
2025-02-19,-3978.01,-3978.01,-3623.42,-3978.01,-3978.01,-3978.01,-3623.42,-5212.40
2025-02-20,-842.63,-2657.34,-1969.31,-2657.34,-2657.34,-842.63,-1969.31,-3873.43
2025-02-21,-5399.55,-5399.55,-6995.94,-5795.88,-3928.87,-5399.55,-6995.94,-4000.70
2025-02-24,4574.54,3027.22,461.58,694.16,3850.85,4574.54,461.58,1795.03
2025-02-25,-1329.50,-1329.50,-4073.28,-1942.35,-1942.35,-1329.50,-4073.28,-408.78
2025-02-27,-3786.75,-4671.43,-4673.07,-4671.43,-3786.75,-3786.75,-4673.07,-10731.04
2025-02-28,-3313.59,-5666.11,816.34,-3313.59,816.34,-3313.59,-1536.17,-8045.83
2025-03-03,-3268.07,-7129.84,-7264.62,-5375.16,-4717.38,-1953.54,-7264.62,-6143.90
2025-03-04,-5807.43,-5807.43,-5825.74,-5794.59,-5807.43,-5807.43,-5825.74,-12171.22
2025-03-05,1455.62,1455.62,-82.85,-503.84,1455.62,1455.62,-82.85,3722.80
2025-03-06,1580.29,1580.29,0.00,1580.29,1881.11,-300.82,0.00,2418.20
2025-03-07,-3398.04,-3398.04,-3258.18,-3457.92,-2339.27,-2549.93,-3258.18,-4823.06
2025-03-11,-1483.37,-1483.37,-1483.37,-1483.37,-1483.37,-1483.37,-1483.37,-3761.38
