symbol,bars_count,avg_turnover_cr,circuit_count,atr_pct,included,exclusion_reason
AAKASH,1918,0.0692,0,0.05472,N,TURNOVER_TOO_LOW
AARON,1830,0.2001,0,0.04503,N,TURNOVER_TOO_LOW
AARVI,2007,0.3554,0,0.04585,N,TURNOVER_TOO_LOW
ABINFRA,1620,1.5042,0,0.04953,N,TURNOVER_TOO_LOW
ABMINTLLTD,2007,0.0149,1,0.0714,N,TURNOVER_TOO_LOW
ABREL,1959,32.9254,0,0.03414,Y,
ACCURACY,1879,0.0509,0,0.05634,N,TURNOVER_TOO_LOW
ACEINTEG,2006,0.0066,0,0.06947,N,TURNOVER_TOO_LOW
ACL,2008,0.2562,0,0.05983,N,TURNOVER_TOO_LOW
ADANIENSOL,1941,189.1895,0,0.02668,N,TURNOVER_TOO_HIGH
ADFFOODS,2009,3.3185,1,0.0369,N,TURNOVER_TOO_LOW
ADROITINFO,2008,0.0681,0,0.06153,N,TURNOVER_TOO_LOW
AEGISLOG,1959,74.1388,1,0.0335,Y,
AGARIND,2008,1.9953,1,0.03852,N,TURNOVER_TOO_LOW
AGROPHOS,2008,0.1013,0,0.05108,N,TURNOVER_TOO_LOW
AHLADA,1815,0.1518,1,0.05598,N,TURNOVER_TOO_LOW
AHLEAST,2008,0.058,0,0.04564,N,TURNOVER_TOO_LOW
AIRAN,2009,0.2843,3,0.05366,N,TURNOVER_TOO_LOW
AIROLAM,2007,0.0398,0,0.044,N,TURNOVER_TOO_LOW
AJOONI,2004,0.1915,2,0.04517,N,TURNOVER_TOO_LOW
AKASH,2007,0.1712,3,0.06366,N,TURNOVER_TOO_LOW
AKG,1816,0.112,0,0.03882,N,TURNOVER_TOO_LOW
AKSHARCHEM,2008,0.1236,0,0.04617,N,TURNOVER_TOO_LOW
ALANKIT,2008,0.2353,0,0.0435,N,TURNOVER_TOO_LOW
ALBERTDAVD,2008,0.2168,0,0.02903,N,TURNOVER_TOO_LOW
ANANTRAJ,1959,354.7541,1,0.03617,N,TURNOVER_TOO_HIGH
ANUP,1721,6.0295,1,0.03913,Y,
APCL,2008,0.184,1,0.05386,N,TURNOVER_TOO_LOW
APEX,2009,66.4501,4,0.05863,N,CIRCUIT_PRONE
APOLLO,1994,69.6848,0,0.04519,Y,
APOLLOPIPE,1555,7.2173,1,0.04443,Y,
APOLSINHOT,2008,0.1486,0,0.03698,N,TURNOVER_TOO_LOW
ARENTERP,2007,0.0136,1,0.08426,N,TURNOVER_TOO_LOW
ARIHANTSUP,2008,1.2759,0,0.04576,N,TURNOVER_TOO_LOW
ARMANFIN,2009,6.1151,0,0.04023,Y,
ARROWGREEN,2008,0.9108,0,0.04514,N,TURNOVER_TOO_LOW
ARTNIRMAN,2007,0.0072,0,0.03692,N,TURNOVER_TOO_LOW
ARVINDFASN,1717,11.4838,0,0.0351,Y,
ARVSMART,2009,1.8965,0,0.03272,N,TURNOVER_TOO_LOW
ASAHISONG,2009,0.4729,1,0.05171,N,TURNOVER_TOO_LOW
ASHIANA,2009,6.851,1,0.03191,Y,
ASPINWALL,2008,0.3224,1,0.05843,N,TURNOVER_TOO_LOW
ASTRON,2009,0.0478,0,0.07072,N,TURNOVER_TOO_LOW
ATGL,1801,36.9476,0,0.02661,Y,
ATULAUTO,2009,13.6084,0,0.03887,Y,
AURUM,2009,1.907,0,0.04148,N,TURNOVER_TOO_LOW
AVADHSUGAR,2009,1.219,0,0.03324,N,TURNOVER_TOO_LOW
AVANTIFEED,2008,171.8639,3,0.04564,N,TURNOVER_TOO_HIGH
AVG,1931,0.577,1,0.06743,N,TURNOVER_TOO_LOW
AYMSYNTEX,2009,0.3817,0,0.0603,N,TURNOVER_TOO_LOW
BALAXI,2008,0.4559,0,0.0683,N,TURNOVER_TOO_LOW
BALKRISHNA,2008,0.0429,0,0.06539,N,TURNOVER_TOO_LOW
BANARBEADS,2008,0.0609,1,0.06128,N,TURNOVER_TOO_LOW
BANKA,1968,0.0406,0,0.04538,N,TURNOVER_TOO_LOW
BBTCL,1802,0.0679,0,0.04303,N,TURNOVER_TOO_LOW
BCG,2009,11.5517,4,0.04684,N,CIRCUIT_PRONE
BCONCEPTS,1997,0.2189,0,0.07224,N,TURNOVER_TOO_LOW
BEARDSELL,2009,0.0753,0,0.05435,N,TURNOVER_TOO_LOW
BEDMUTHA,2008,0.2434,1,0.05829,N,TURNOVER_TOO_LOW
BETA,2008,1.0378,1,0.05259,N,TURNOVER_TOO_LOW
BFINVEST,2008,0.7076,0,0.03023,N,TURNOVER_TOO_LOW
BHAGERIA,2009,1.0043,0,0.04008,N,TURNOVER_TOO_LOW
BHANDARI,2009,0.1048,0,0.04814,N,TURNOVER_TOO_LOW
BHARATWIRE,2009,4.3007,0,0.04166,N,TURNOVER_TOO_LOW
BIGBLOC,2009,2.7377,1,0.06351,N,TURNOVER_TOO_LOW
BIOFILCHEM,2008,0.1985,1,0.06582,N,TURNOVER_TOO_LOW
BLISSGVS,2009,99.5502,3,0.05468,Y,
BLS,2009,76.6735,1,0.03746,Y,
BODALCHEM,2009,0.6071,1,0.03677,N,TURNOVER_TOO_LOW
BOHRAIND,2007,0.036,0,0.08926,N,TURNOVER_TOO_LOW
BORORENEW,1911,19.949,0,0.04007,Y,
BRNL,2009,0.1999,1,0.05206,N,TURNOVER_TOO_LOW
BROOKS,2008,0.5526,2,0.06094,N,TURNOVER_TOO_LOW
BSHSL,1920,0.3778,1,0.05067,N,TURNOVER_TOO_LOW
BUTTERFLY,2008,0.3781,0,0.03454,N,TURNOVER_TOO_LOW
BYKE,2008,0.5133,0,0.06487,N,TURNOVER_TOO_LOW
CAMLINFINE,2008,11.3857,2,0.05159,Y,
CANTABIL,2008,7.7247,0,0.04019,Y,
CAPACITE,2009,6.7335,0,0.03649,Y,
CAPTRUST,2007,0.2602,0,0.06074,N,TURNOVER_TOO_LOW
CCHHL,2008,0.0365,0,0.05142,N,TURNOVER_TOO_LOW
CENTRUM,1947,0.79,0,0.04695,N,TURNOVER_TOO_LOW
CHEMBOND,1549,0.209,1,0.05005,N,TURNOVER_TOO_LOW
CHEMFAB,1931,0.7536,0,0.05529,N,TURNOVER_TOO_LOW
CIGNITITEC,2009,14.127,0,0.03312,Y,
CLEDUCATE,2008,0.4491,1,0.05903,N,TURNOVER_TOO_LOW
COFFEEDAY,2008,3.2485,1,0.05263,N,TURNOVER_TOO_LOW
COFORGE,1959,285.8231,0,0.02507,N,TURNOVER_TOO_HIGH
COMPUSOFT,2009,0.0403,0,0.04528,N,TURNOVER_TOO_LOW
CONTROLPR,2008,1.5739,0,0.03221,N,TURNOVER_TOO_LOW
CORALFINAC,2009,0.172,0,0.05634,N,TURNOVER_TOO_LOW
CROWN,2006,0.3895,2,0.05668,N,TURNOVER_TOO_LOW
CSBBANK,1539,57.5587,2,0.05518,Y,
CUPID,2009,397.8283,1,0.07037,N,TURNOVER_TOO_HIGH
DAMODARIND,2009,0.0453,0,0.06148,N,TURNOVER_TOO_LOW
DANGEE,1830,0.0355,2,0.06294,N,TURNOVER_TOO_LOW
DBREALTY,2009,26.3267,1,0.04898,Y,
DBSTOCKBRO,2007,0.0358,0,0.03463,N,TURNOVER_TOO_LOW
DCI,1511,0.3406,1,0.04413,N,TURNOVER_TOO_LOW
DCMNVL,1632,0.1535,0,0.04685,N,TURNOVER_TOO_LOW
DEEPAKFERT,1954,42.0121,0,0.03,Y,
DELPHIFX,2009,2.7905,1,0.04584,N,TURNOVER_TOO_LOW
DEVIT,2008,0.9208,1,0.06903,N,TURNOVER_TOO_LOW
DGCONTENT,1651,0.1171,1,0.07599,N,TURNOVER_TOO_LOW
DHANUKA,2008,3.9699,0,0.03559,N,TURNOVER_TOO_LOW
DHUNINV,2008,0.1376,0,0.05131,N,TURNOVER_TOO_LOW
DIACABS,2009,18.4113,0,0.04045,Y,
DIAMONDYD,2008,5.7261,0,0.03155,Y,
DIGJAMLMTD,1712,0.0411,0,0.05715,N,TURNOVER_TOO_LOW
DNAMEDIA,2009,0.0346,2,0.08074,N,TURNOVER_TOO_LOW
DOLATALGO,1610,8.0312,1,0.04477,Y,
DOLLAR,2008,1.6444,0,0.02916,N,TURNOVER_TOO_LOW
DPABHUSHAN,2007,2.6243,0,0.04682,N,TURNOVER_TOO_LOW
DPWIRES,2007,0.2798,0,0.04206,N,TURNOVER_TOO_LOW
DTIL,2008,0.0516,0,0.03789,N,TURNOVER_TOO_LOW
DUCON,2008,0.2846,2,0.06982,N,TURNOVER_TOO_LOW
DYNPRO,2008,0.5072,1,0.04441,N,TURNOVER_TOO_LOW
EIFFL,2007,1.8198,2,0.06708,N,TURNOVER_TOO_LOW
ELECON,1941,27.8692,0,0.03317,Y,
EMAMIPAP,1639,0.139,0,0.03882,N,TURNOVER_TOO_LOW
EMMBI,2008,0.1344,0,0.03788,N,TURNOVER_TOO_LOW
ESSARSHPNG,2008,0.4028,1,0.04909,N,TURNOVER_TOO_LOW
ESSENTIA,2007,0.2676,3,0.05408,N,TURNOVER_TOO_LOW
ESTER,2009,0.7539,0,0.03014,N,TURNOVER_TOO_LOW
FCL,2009,5.2408,0,0.03734,Y,
FILATEX,2009,4.328,0,0.03959,N,TURNOVER_TOO_LOW
FLEXITUFF,2008,0.0282,0,0.07837,N,TURNOVER_TOO_LOW
FLUOROCHEM,1572,25.2038,0,0.03038,Y,
FMNL,2008,0.0469,0,0.06078,N,TURNOVER_TOO_LOW
FOCUS,2006,0.6277,1,0.06203,N,TURNOVER_TOO_LOW
GANECOS,2009,12.7175,1,0.04051,Y,
GANGAFORGE,1866,0.3128,1,0.07601,N,TURNOVER_TOO_LOW
GANGESSECU,2008,0.0456,0,0.05065,N,TURNOVER_TOO_LOW
GAYAHWS,1887,0.0931,0,0.06314,N,TURNOVER_TOO_LOW
GEEKAYWIRE,2008,0.269,0,0.04956,N,TURNOVER_TOO_LOW
GENUSPAPER,2008,0.1146,0,0.0416,N,TURNOVER_TOO_LOW
GLAXO,1954,22.529,0,0.0222,Y,
GLOBE,1874,0.3617,1,0.07417,N,TURNOVER_TOO_LOW
GMMPFAUDLR,1966,6.9625,0,0.02981,Y,
GNA,2009,6.6962,1,0.04557,Y,
GOKULAGRO,2009,8.0483,0,0.03932,Y,
GOODLUCK,2009,10.0142,0,0.03899,Y,
GPTINFRA,2009,6.5903,0,0.04274,Y,
GRAVITA,1941,48.4889,0,0.02945,Y,
GREENLAM,2008,2.4322,0,0.04182,N,TURNOVER_TOO_LOW
GREENPANEL,1568,3.8686,0,0.03747,N,TURNOVER_TOO_LOW
GREENPOWER,2009,3.1904,0,0.0381,N,TURNOVER_TOO_LOW
GROBTEA,2009,0.0146,0,0.03098,N,TURNOVER_TOO_LOW
GRPLTD,2008,0.6569,0,0.047,N,TURNOVER_TOO_LOW
GRSE,1768,419.5929,0,0.03263,N,TURNOVER_TOO_HIGH
GTPL,2009,0.6823,1,0.04153,N,TURNOVER_TOO_LOW
GULPOLY,2008,1.7459,1,0.04044,N,TURNOVER_TOO_LOW
GVPTECH,2006,0.0631,1,0.07511,N,TURNOVER_TOO_LOW
HATHWAY,2009,2.5874,0,0.03191,N,TURNOVER_TOO_LOW
HAVISHA,1938,0.0062,0,0.07532,N,TURNOVER_TOO_LOW
HBLENGINE,1959,262.7856,1,0.04091,N,TURNOVER_TOO_HIGH
HCG,2009,11.3526,0,0.03146,Y,
HDFCSENSEX,1901,0.4035,0,0.01596,N,TURNOVER_TOO_LOW
HEADSUP,2008,0.0333,0,0.06668,N,TURNOVER_TOO_LOW
HECPROJECT,2007,0.2699,2,0.07634,N,TURNOVER_TOO_LOW
HESTERBIO,2008,0.6354,0,0.03025,N,TURNOVER_TOO_LOW
HEXATRADEX,2008,0.063,0,0.02997,N,TURNOVER_TOO_LOW
HGINFRA,1963,16.1388,1,0.04029,Y,
HINDCON,1960,0.0713,2,0.05921,N,TURNOVER_TOO_LOW
HINDWAREAP,1524,3.0336,0,0.05081,N,TURNOVER_TOO_LOW
HISARMETAL,2008,0.0558,0,0.04672,N,TURNOVER_TOO_LOW
HITECH,2009,7.9698,1,0.0376,Y,
HMVL,2008,0.2116,0,0.04005,N,TURNOVER_TOO_LOW
HPL,2009,5.2989,0,0.04024,Y,
HSCL,1959,73.4732,0,0.02618,Y,
ICEMAKE,2008,1.972,0,0.03784,N,TURNOVER_TOO_LOW
IITL,2007,0.4657,0,0.0615,N,TURNOVER_TOO_LOW
IMAGICAA,2009,3.0689,0,0.04079,N,TURNOVER_TOO_LOW
IMFA,2009,36.1275,1,0.05686,Y,
INCREDIBLE,2008,0.0553,0,0.0687,N,TURNOVER_TOO_LOW
INDIAMART,1640,25.6964,0,0.0271,Y,
INDOSTAR,1915,3.2703,0,0.0478,N,TURNOVER_TOO_LOW
INDOTHAI,2009,16.9669,0,0.06147,Y,
INDTERRAIN,2008,0.0837,0,0.04658,N,TURNOVER_TOO_LOW
INDUSTOWER,2009,303.7725,0,0.0274,N,TURNOVER_TOO_HIGH
INFIBEAM,2008,16.1054,0,0.03467,Y,
INFOBEAN,2009,41.5014,4,0.07829,N,CIRCUIT_PRONE
INNOVANA,2006,0.3935,0,0.06807,N,TURNOVER_TOO_LOW
INOXWIND,1959,102.4158,0,0.0287,N,TURNOVER_TOO_HIGH
INTENTECH,2008,1.4981,0,0.05855,N,TURNOVER_TOO_LOW
INVENTURE,2008,0.1107,0,0.03918,N,TURNOVER_TOO_LOW
IOLCP,2009,5.7789,0,0.03556,Y,
IRCTC,1523,52.1152,0,0.01384,Y,
IRISDOREME,1791,1.8764,0,0.05887,N,TURNOVER_TOO_LOW
ISFT,2008,0.2014,0,0.04105,N,TURNOVER_TOO_LOW
ITDC,2009,2.9161,0,0.03632,N,TURNOVER_TOO_LOW
ITI,1959,111.5937,1,0.03599,N,TURNOVER_TOO_HIGH
JASH,2007,3.1529,0,0.04359,N,TURNOVER_TOO_LOW
JINDWORLD,2009,1.8133,1,0.04322,N,TURNOVER_TOO_LOW
JISLDVREQS,2008,0.0611,0,0.06118,N,TURNOVER_TOO_LOW
JITFINFRA,2009,0.7055,0,0.05405,N,TURNOVER_TOO_LOW
JMA,2008,0.1042,0,0.04581,N,TURNOVER_TOO_LOW
JPOLYINVST,2007,2.6931,1,0.05149,N,TURNOVER_TOO_LOW
JWL,2009,254.0042,2,0.0486,N,TURNOVER_TOO_HIGH
KANANIIND,2008,0.0329,0,0.04846,N,TURNOVER_TOO_LOW
KARMAENG,2008,0.0252,0,0.06898,N,TURNOVER_TOO_LOW
KAYA,2008,0.3713,0,0.05946,N,TURNOVER_TOO_LOW
KDDL,2008,3.316,0,0.04033,N,TURNOVER_TOO_LOW
KECL,2009,2.8559,0,0.04772,N,TURNOVER_TOO_LOW
KELLTONTEC,2009,4.3336,1,0.04653,N,TURNOVER_TOO_LOW
KHADIM,2009,1.3584,1,0.05491,N,TURNOVER_TOO_LOW
KILITCH,2008,0.6529,0,0.04643,N,TURNOVER_TOO_LOW
KINGFA,2008,2.1756,0,0.03877,N,TURNOVER_TOO_LOW
KIOCL,2009,10.1566,0,0.05404,Y,
KITEX,2009,39.0564,1,0.05197,Y,
KPIL,1959,23.406,0,0.02582,Y,
KREBSBIO,2008,0.084,0,0.06889,N,TURNOVER_TOO_LOW
KRIDHANINF,2009,0.0537,1,0.0855,N,TURNOVER_TOO_LOW
KRISHANA,2007,4.3577,0,0.03575,N,TURNOVER_TOO_LOW
KRITI,2006,0.2476,0,0.06476,N,TURNOVER_TOO_LOW
KRITIKA,1804,0.101,0,0.05393,N,TURNOVER_TOO_LOW
KUANTUM,1567,0.3907,0,0.03443,N,TURNOVER_TOO_LOW
LAGNAM,1820,0.1106,2,0.05761,N,TURNOVER_TOO_LOW
LAMBODHARA,2009,0.1575,2,0.04709,N,TURNOVER_TOO_LOW
LASA,2008,0.0662,0,0.06959,N,TURNOVER_TOO_LOW
LATTEYS,1890,0.1148,0,0.04428,N,TURNOVER_TOO_LOW
LAXMICOT,2006,0.158,4,0.06903,N,TURNOVER_TOO_LOW
LEXUS,2007,0.186,2,0.06513,N,TURNOVER_TOO_LOW
LFIC,2008,0.0622,2,0.05472,N,TURNOVER_TOO_LOW
LIBAS,2008,0.0442,0,0.06051,N,TURNOVER_TOO_LOW
LICNFNHGP,2007,0.0231,0,0.0135,N,TURNOVER_TOO_LOW
LINC,2008,0.354,0,0.05164,N,TURNOVER_TOO_LOW
LINCOLN,2008,3.3335,1,0.03311,N,TURNOVER_TOO_LOW
LOVABLE,2009,0.1105,0,0.0452,N,TURNOVER_TOO_LOW
LTF,2009,185.9453,0,0.03353,N,TURNOVER_TOO_HIGH
LTFOODS,1954,31.8512,0,0.03044,Y,
LTIM,2009,189.7543,0,0.02573,N,TURNOVER_TOO_HIGH
LYPSAGEMS,2008,0.0329,1,0.07318,N,TURNOVER_TOO_LOW
