variant,today_narrow,yesterday_ctx,wide_thresh,narrow_thresh,period,n_sessions,mean_per_day,median_per_day,p10,p90,max_per_day,total_setup_events
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,full,5907,74.0094802776367,60.0,7.0,154.0,659.0,437174.0
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,recent,535,177.97196261682242,176.0,109.0,246.0,659.0,95215.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,full,5597,27.412363766303375,18.0,1.0,76.0,806.0,153427.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,recent,528,34.384469696969695,34.0,11.0,47.0,806.0,18155.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,full,5918,95.33795201081446,76.0,8.0,199.0,880.0,564210.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,recent,535,203.31028037383177,201.0,131.0,271.0,880.0,108771.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,full,5839,55.743106696352115,45.0,7.0,113.0,568.0,325484.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,recent,532,131.84774436090225,125.0,78.0,191.0,568.0,70143.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,full,5628,28.95646766169154,20.0,1.0,78.0,807.0,162967.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,recent,532,39.4078947368421,38.0,17.0,51.0,807.0,20965.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,full,5865,79.05251491901109,62.0,7.0,167.0,853.0,463643.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,recent,534,163.21161048689137,159.0,108.0,223.7,853.0,87155.0
t0.0030_ctxW_w0.0080,0.003,W,0.008,0.009,full,5762,41.96025685525859,34.0,7.0,83.0,487.0,241775.0
t0.0030_ctxW_w0.0080,0.003,W,0.008,0.009,recent,531,95.82297551789077,87.0,54.0,148.0,487.0,50882.0
t0.0030_ctxN_n0.0090,0.003,N,0.008,0.009,full,5659,31.93620781056724,22.0,2.0,81.0,812.0,180727.0
t0.0030_ctxN_n0.0090,0.003,N,0.008,0.009,recent,536,48.20522388059702,46.0,27.0,63.0,812.0,25838.0
t0.0030_ctxW_OR_N_w0.0080_n0.0090,0.003,W_OR_N,0.008,0.009,full,5824,68.56524725274726,53.0,7.0,147.0,846.0,399324.0
t0.0030_ctxW_OR_N_w0.0080_n0.0090,0.003,W_OR_N,0.008,0.009,recent,536,136.94776119402985,133.0,87.0,187.5,846.0,73404.0
t0.0040_ctxW_w0.0050,0.004,W,0.005,0.005,full,5967,95.61203284732696,78.0,8.0,200.40000000000055,692.0,570517.0
t0.0040_ctxW_w0.0050,0.004,W,0.005,0.005,recent,535,232.7177570093458,230.0,144.4,319.20000000000005,692.0,124504.0
t0.0040_ctxN_n0.0050,0.004,N,0.005,0.005,full,5597,27.412363766303375,18.0,1.0,76.0,806.0,153427.0
t0.0040_ctxN_n0.0050,0.004,N,0.005,0.005,recent,528,34.384469696969695,34.0,11.0,47.0,806.0,18155.0
t0.0040_ctxW_OR_N_w0.0050_n0.0050,0.004,W_OR_N,0.005,0.005,full,5970,116.8430485762144,94.0,8.0,242.0,913.0,697553.0
t0.0040_ctxW_OR_N_w0.0050_n0.0050,0.004,W_OR_N,0.005,0.005,recent,535,258.05607476635515,257.0,167.4,343.6,913.0,138060.0
t0.0040_ctxW_w0.0065,0.004,W,0.0065,0.007,full,5888,72.06216032608695,58.0,7.0,147.0,590.0,424302.0
t0.0040_ctxW_w0.0065,0.004,W,0.0065,0.007,recent,532,172.21052631578948,164.0,105.0,247.0,590.0,91616.0
t0.0040_ctxN_n0.0070,0.004,N,0.0065,0.007,full,5628,28.95646766169154,20.0,1.0,78.0,807.0,162967.0
t0.0040_ctxN_n0.0070,0.004,N,0.0065,0.007,recent,532,39.4078947368421,38.0,17.0,51.0,807.0,20965.0
t0.0040_ctxW_OR_N_w0.0065_n0.0070,0.004,W_OR_N,0.0065,0.007,full,5903,95.28392342876504,75.0,8.0,198.0,875.0,562461.0
t0.0040_ctxW_OR_N_w0.0065_n0.0070,0.004,W_OR_N,0.0065,0.007,recent,534,203.42322097378278,198.0,133.0,285.0,875.0,108628.0
t0.0040_ctxW_w0.0080,0.004,W,0.008,0.009,full,5813,54.097195940134185,44.0,8.0,108.0,503.0,314467.0
t0.0040_ctxW_w0.0080,0.004,W,0.008,0.009,recent,531,125.2768361581921,114.0,73.0,195.0,503.0,66522.0
t0.0040_ctxN_n0.0090,0.004,N,0.008,0.009,full,5659,31.956176002827355,22.0,2.0,81.0,812.0,180840.0
t0.0040_ctxN_n0.0090,0.004,N,0.008,0.009,recent,536,48.264925373134325,46.0,27.0,63.0,812.0,25870.0
t0.0040_ctxW_OR_N_w0.0080_n0.0090,0.004,W_OR_N,0.008,0.009,full,5857,80.60423424961584,62.0,8.0,169.0,862.0,472099.0
t0.0040_ctxW_OR_N_w0.0080_n0.0090,0.004,W_OR_N,0.008,0.009,recent,536,166.17910447761193,158.5,106.0,235.5,862.0,89072.0
t0.0050_ctxW_w0.0050,0.005,W,0.005,0.005,full,6024,115.98406374501992,95.0,8.0,245.0,723.0,698688.0
t0.0050_ctxW_w0.0050,0.005,W,0.005,0.005,recent,535,285.8934579439252,285.0,188.0,385.6,723.0,152953.0
t0.0050_ctxN_n0.0050,0.005,N,0.005,0.005,full,5597,27.412363766303375,18.0,1.0,76.0,806.0,153427.0
t0.0050_ctxN_n0.0050,0.005,N,0.005,0.005,recent,528,34.384469696969695,34.0,11.0,47.0,806.0,18155.0
t0.0050_ctxW_OR_N_w0.0050_n0.0050,0.005,W_OR_N,0.005,0.005,full,6026,137.02688350481247,111.0,9.0,285.0,944.0,825724.0
t0.0050_ctxW_OR_N_w0.0050_n0.0050,0.005,W_OR_N,0.005,0.005,recent,535,311.2317757009346,313.0,207.4,414.6,944.0,166509.0
t0.0050_ctxW_w0.0065,0.005,W,0.0065,0.007,full,5943,87.61534578495709,70.0,7.0,180.0,612.0,520698.0
t0.0050_ctxW_w0.0065,0.005,W,0.0065,0.007,recent,532,211.96616541353384,203.0,135.0,302.7000000000001,612.0,112766.0
t0.0050_ctxN_n0.0070,0.005,N,0.0065,0.007,full,5628,28.95646766169154,20.0,1.0,78.0,807.0,162967.0
t0.0050_ctxN_n0.0070,0.005,N,0.0065,0.007,recent,532,39.4078947368421,38.0,17.0,51.0,807.0,20965.0
t0.0050_ctxW_OR_N_w0.0065_n0.0070,0.005,W_OR_N,0.0065,0.007,full,5952,110.69506048387096,88.0,8.0,230.0,897.0,658857.0
t0.0050_ctxW_OR_N_w0.0065_n0.0070,0.005,W_OR_N,0.0065,0.007,recent,534,243.02996254681648,236.5,160.0,341.09999999999997,897.0,129778.0
t0.0050_ctxW_w0.0080,0.005,W,0.008,0.009,full,5863,65.8511001193928,53.0,7.0,132.0,519.0,386085.0
t0.0050_ctxW_w0.0080,0.005,W,0.008,0.009,recent,531,154.51600753295668,142.0,91.0,234.0,519.0,82048.0
t0.0050_ctxN_n0.0090,0.005,N,0.008,0.009,full,5659,31.956176002827355,22.0,2.0,81.0,812.0,180840.0
t0.0050_ctxN_n0.0090,0.005,N,0.008,0.009,recent,536,48.264925373134325,46.0,27.0,63.0,812.0,25870.0
t0.0050_ctxW_OR_N_w0.0080_n0.0090,0.005,W_OR_N,0.008,0.009,full,5892,92.28054989816701,72.0,8.0,191.0,878.0,543717.0
t0.0050_ctxW_OR_N_w0.0080_n0.0090,0.005,W_OR_N,0.008,0.009,recent,536,195.1455223880597,186.0,124.0,275.0,878.0,104598.0
